"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"6","Handema,R.","Mitarai,S.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"7","Handema,R.","Honda,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"8","Handema,R.","Yamamoto,N.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"9","Handema,R.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"76","Terunuma,H.","Kasolo,F.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"77","Terunuma,H.","Kasai,H.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"78","Terunuma,H.","Xuewen,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"79","Terunuma,H.","Kozi,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"80","Terunuma,H.","Mitarai,S.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"81","Terunuma,H.","Honda,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"82","Terunuma,H.","Yamamoto,N.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"83","Terunuma,H.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"150","Kasolo,F.","Kasai,H.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"151","Kasolo,F.","Xuewen,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"152","Kasolo,F.","Kozi,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"153","Kasolo,F.","Mitarai,S.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"154","Kasolo,F.","Honda,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"155","Kasolo,F.","Yamamoto,N.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"156","Kasolo,F.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"223","Kasai,H.","Xuewen,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"224","Kasai,H.","Kozi,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"225","Kasai,H.","Mitarai,S.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"226","Kasai,H.","Honda,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"227","Kasai,H.","Yamamoto,N.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"228","Kasai,H.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"295","Xuewen,I.","Kozi,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"296","Xuewen,I.","Mitarai,S.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"297","Xuewen,I.","Honda,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"298","Xuewen,I.","Yamamoto,N.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"299","Xuewen,I.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"366","Kozi,I.","Mitarai,S.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"367","Kozi,I.","Honda,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"368","Kozi,I.","Yamamoto,N.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"369","Kozi,I.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"436","Mitarai,S.","Honda,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"437","Mitarai,S.","Yamamoto,N.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"438","Mitarai,S.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"505","Honda,M.","Yamamoto,N.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"506","Honda,M.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"573","Yamamoto,N.","Ito,M.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"12","Kurosu,T.","Mukai,T.",2000,"Submitted (11-DEC-2000) Takeshi Kurosu, Research Institute for	Microbial Diseases, Osaka University, Department of Virology; 3-1,	Yamadaoka, Suita, Osaka 565-0871, Japan	(E-mail:kurosu@biken.osaka-u.ac.jp, Tel:81-6-6879-8308,	Fax:81-6-6879-8308)","Human immunodeficiency virus 1","Viruses",11676
"22","Kurosu,T.","Ikuta,K.",2000,"Submitted (11-DEC-2000) Takeshi Kurosu, Research Institute for	Microbial Diseases, Osaka University, Department of Virology; 3-1,	Yamadaoka, Suita, Osaka 565-0871, Japan	(E-mail:kurosu@biken.osaka-u.ac.jp, Tel:81-6-6879-8308,	Fax:81-6-6879-8308)","Human immunodeficiency virus 1","Viruses",11676
"761","Mukai,T.","Ikuta,K.",2000,"Submitted (11-DEC-2000) Takeshi Kurosu, Research Institute for	Microbial Diseases, Osaka University, Department of Virology; 3-1,	Yamadaoka, Suita, Osaka 565-0871, Japan	(E-mail:kurosu@biken.osaka-u.ac.jp, Tel:81-6-6879-8308,	Fax:81-6-6879-8308)","Human immunodeficiency virus 1","Viruses",11676
"13","Velarde-Dunois,K.G.","Guimaraes,M.L.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"23","Velarde-Dunois,K.G.","La Fuente,C.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"32","Velarde-Dunois,K.G.","Andrade,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"42","Velarde-Dunois,K.G.","Arevalo,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"52","Velarde-Dunois,K.G.","Pantoja,S.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"61","Velarde-Dunois,K.G.","Mariscal,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"71","Velarde-Dunois,K.G.","Sandoval,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"87","Velarde-Dunois,K.G.","Iriarte,F.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"91","Velarde-Dunois,K.G.","Angles,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"10","Velarde-Dunois,K.G.","Chamon,V.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"111","Velarde-Dunois,K.G.","Carvajal,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"121","Velarde-Dunois,K.G.","Morgado,M.G.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"762","Guimaraes,M.L.","La Fuente,C.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"772","Guimaraes,M.L.","Andrade,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"781","Guimaraes,M.L.","Arevalo,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"791","Guimaraes,M.L.","Pantoja,S.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"801","Guimaraes,M.L.","Mariscal,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"811","Guimaraes,M.L.","Sandoval,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"821","Guimaraes,M.L.","Iriarte,F.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"831","Guimaraes,M.L.","Angles,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"84","Guimaraes,M.L.","Chamon,V.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"85","Guimaraes,M.L.","Carvajal,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"86","Guimaraes,M.L.","Morgado,M.G.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"1501","La Fuente,C.","Andrade,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"1511","La Fuente,C.","Arevalo,R.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
"1521","La Fuente,C.","Pantoja,S.",2000,"Submitted (15-MAR-2000) Immunology, Oswaldo Cruz Institute -	FIOCRUZ, Av. Brasil 4365 - Manguinhos, Rio de Janeiro, RJ	21045-900, Brazil","Human immunodeficiency virus 1","Viruses",11676
