,match_ids_GB,Joys_Fujiwara_Ids,author_id,ssid,num_authors,num_genbank_references,reference_year_list,name,paper_cnt,orgs,paper_ids,Genbank_ids_2,Genbank_ids_3
,,AB073713,,,,,,,,,,,
5,AB049211,AF219990,2070522336,7327f9e1c5d868b8b2675b2fb8c9f33b9b712266,7,1,2001,T  Fujiwara,3,{},04156345b25608074da15b4e7bda3fbfc0a20703 3755205f016be93dddc6f735d83da38aaed6e59d 7327f9e1c5d868b8b2675b2fb8c9f33b9b712266,NA,NA
2,AB025228,AF219994,46504445,1ce75c932f5c659825e6231c235f782c9c0dfe1a,5,1,2000,Taku  Fujiwara,6,"{""Department of Oral Microbiology, Osaka University Faculty of Dentistry, Japan."": 2, ""Department of Pedodontics, Osaka University Faculty of Dentistry, Japan."": 1, ""Department of Pedodontics, Osaka University Faculty of Dentistry, Suita-Osaka 565-0871, Japan. fujiwara@dent.osaka-u.ac.jp"": 1}",0750a3843ecc0e4e860d553eb5f60b36e4a6ff12 1ce75c932f5c659825e6231c235f782c9c0dfe1a 513427d4abdca72a54041eb7ba24dc10b82e1aaa 7add0eefa204c1a06a7c3a538c13b433921cb2ff bbb113c0082584f1b302f143de9e7aa3c521d4c7 ec9a0b17282bcf043ee9a4cda7d80f2427c39d8c,NA,NA
11,AY043290,AF233369,46504445,ec9a0b17282bcf043ee9a4cda7d80f2427c39d8c,6,1,2002,Taku  Fujiwara,6,"{""Department of Oral Microbiology, Osaka University Faculty of Dentistry, Japan."": 2, ""Department of Pedodontics, Osaka University Faculty of Dentistry, Japan."": 1, ""Department of Pedodontics, Osaka University Faculty of Dentistry, Suita-Osaka 565-0871, Japan. fujiwara@dent.osaka-u.ac.jp"": 1}",0750a3843ecc0e4e860d553eb5f60b36e4a6ff12 1ce75c932f5c659825e6231c235f782c9c0dfe1a 513427d4abdca72a54041eb7ba24dc10b82e1aaa 7add0eefa204c1a06a7c3a538c13b433921cb2ff bbb113c0082584f1b302f143de9e7aa3c521d4c7 ec9a0b17282bcf043ee9a4cda7d80f2427c39d8c,NA,NA
,,AJ277440,,,,,,,,,,,
13,AY043484,AJ278286,48014434,e11fb56a63d885c193da431c4cefcaacd76412ec,8,1,2002,T  Fujiwara,1,{},e11fb56a63d885c193da431c4cefcaacd76412ec,NA,NA
9,AF219994,AJ299430,46504445,7add0eefa204c1a06a7c3a538c13b433921cb2ff,8,1,2000,Taku  Fujiwara,6,"{""Department of Oral Microbiology, Osaka University Faculty of Dentistry, Japan."": 2, ""Department of Pedodontics, Osaka University Faculty of Dentistry, Japan."": 1, ""Department of Pedodontics, Osaka University Faculty of Dentistry, Suita-Osaka 565-0871, Japan. fujiwara@dent.osaka-u.ac.jp"": 1}",0750a3843ecc0e4e860d553eb5f60b36e4a6ff12 1ce75c932f5c659825e6231c235f782c9c0dfe1a 513427d4abdca72a54041eb7ba24dc10b82e1aaa 7add0eefa204c1a06a7c3a538c13b433921cb2ff bbb113c0082584f1b302f143de9e7aa3c521d4c7 ec9a0b17282bcf043ee9a4cda7d80f2427c39d8c,NA,NA
10,AJ277440,AJ299431,46504339,f62b60033131db8a4a2b425e1dc52211e1cf3669,3,1,2002,Taketomo  Fujiwara,9,"{""Department of Environment and Energy Systems, Graduate School of Science and Technology, Shizuoka UniversityShizuoka, Japan; Department of Biological Science, Faculty of Science, Shizuoka UniversityShizuoka, Japan."": 1}",68db948924e0659fe226fb2bdc5e3c94e187c52b 6a51fc0f1d80caf37dea552092997ab12268fc54 b06b38a14f020dfdc46a2d0bde4fb97f7b8c7b66 badac7239558d5513ad36a2d6fd61ab3e68a346a baeee4ae755d55cee63ae3c4cac0c5d32114f94f c27962b2807e7f0bd28f8b8b76df1456cabe381f e2a3d9c0800186c5fb9e9cf2ac7c8fb1690646ba e2c66e7d23ac4f4161ce15b6671e9b2a2bcf0920 f62b60033131db8a4a2b425e1dc52211e1cf3669,NA,NA
,,AY043290,,,,,,,,,,,
,,AY043484,,,,,,,,,,,
